"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psia","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2020/01/17","22:01:01",10.50,16386,11848,84.4048,10.65,9.62,16.605,1.172,7.49,-68.4,2.78,0.58,57.0,80.0,8.39,14.3
"2020/01/17","22:07:28",10.51,16411,11870,84.2468,10.66,9.64,16.619,1.181,7.51,-69.3,2.05,0.43,54.8,79.4,8.33,14.2
"2020/01/17","22:13:28",10.50,16433,11881,84.1655,10.68,9.65,16.636,1.193,7.52,-70.0,2.56,0.53,51.9,80.2,8.42,14.2
"2020/01/17","22:19:28",10.46,16503,11920,83.8931,10.72,9.69,16.658,1.208,7.52,-70.1,3.01,0.63,50.6,79.3,8.32,14.3
"2020/01/17","22:25:28",10.42,16630,11998,83.3468,10.81,9.77,16.681,1.224,7.53,-70.6,2.53,0.53,48.2,79.7,8.37,14.3
"2020/01/17","22:31:28",10.37,17049,12286,81.3958,11.08,10.04,16.713,1.247,7.55,-71.5,2.40,0.50,46.5,79.7,8.36,14.3
"2020/01/17","22:37:28",10.35,17515,12613,79.2861,11.38,10.34,16.748,1.271,7.55,-71.5,2.50,0.52,44.9,80.0,8.39,14.2
"2020/01/17","22:43:28",10.33,17778,12796,78.1485,11.55,10.50,16.785,1.296,7.55,-71.5,2.00,0.42,45.8,80.0,8.38,14.2
"2020/01/17","22:49:27",10.31,17958,12921,77.3940,11.67,10.62,16.821,1.322,7.56,-72.1,2.42,0.50,44.3,80.1,8.38,14.2
